Woord;Horen;Zien;Ruiken;Proeven;Voelen;Sensaties;Modality;ModalityExclusivity;MaxPercStrength;AvModalityStrength;Minkowski3;Concreteness;ConcretenessCategory;Imageability;ImageabilityCategory;SourceImageability;Frequency;Prevalence;Length;Nsyl;N_phonemes;PoS;OLD20;DLP_RT;DLP_Acc;DCP_RT;DCP_Acc
eigendom;0,80;3,80;0,20;0,00;1,70;1,20;Zien;0,493506494;3,8;1,28;3,958593692;2,533333333;low;#N/B;#N/B;#N/B;571;2,471393089;8;3;6;N;2,8;518,71;0,951219512;965,21;1
eigendunk;1,18;1,36;0,00;0,00;0,36;1,55;Sensaties;0,346938776;1,55;0,74;1,993782343;1,6;low;#N/B;#N/B;#N/B;39;2,031015878;9;3;7;N;3,65;671,59;0,875;1121,92;0,98
eigenhandig;0,55;2,09;0,00;0,00;1,18;0,45;Zien;0,489361702;2,09;0,71;2,227215931;1,933333333;low;#N/B;#N/B;#N/B;126;3,134889121;11;4;9;ADJ;3,45;555,32;0,975609756;1034,93;1
eigenheid;1,09;1,91;0,27;0,00;0,45;1,91;Joint;0,338709677;1,91;0,94;2,484076097;1,266666667;low;#N/B;#N/B;#N/B;0;2,908946579;9;3;6;N;2,8;612,89;0,925;1121,96;0,97
eigenliefde;1,08;1,38;0,31;0,00;1,15;3,31;Sensaties;0,457446809;3,31;1,21;3,466558086;1,4;low;#N/B;#N/B;#N/B;8;1,903879959;11;4;8;N;3,55;656,28;0,87804878;1211,98;0,96
eigenlijk;0,45;0,18;0,00;0,00;0,00;0,00;Horen;0,714285714;0,45;0,11;0,464042611;1,333333333;low;#N/B;#N/B;#N/B;13639;2,512817192;9;3;6;ADJ;2,7;498,09;0,975;1030,61;1
eigenmachtig;0,36;1,27;0,00;0,00;0,45;1,91;Sensaties;0,477272727;1,91;0,67;2,092454606;1,5;low;#N/B;#N/B;#N/B;4;1,271186813;12;4;9;ADJ;3,2;650,89;0,87804878;1275;0,89
eigennaam;2,08;2,33;0,00;0,00;0,00;0,25;Zien;0,5;2,33;0,78;2,791880135;2;low;#N/B;#N/B;#N/B;2;1,805187197;9;3;6;N;3,2;521,93;0,87804878;1252,7;0,92
eigenschap;0,82;2,18;0,45;0,27;0,45;0,45;Zien;0,411764706;2,18;0,77;2,23976672;2,066666667;low;#N/B;#N/B;#N/B;131;2,797061421;10;3;7;N;3,35;548,94;1;1025,46;1
eigentijds;1,00;2,45;0,00;0,00;0,09;0,73;Zien;0,574468085;2,45;0,71;2,528920354;1,666666667;low;3,9;low;de Deyne et al. 2019;6;2,280792953;10;3;7;ADJ;3,25;575,85;0,975;1038,75;0,99
eigenwaarde;0,33;0,67;0,00;0,00;0,00;2,92;Sensaties;0,744680851;2,92;0,65;2,929669834;1,266666667;low;#N/B;#N/B;#N/B;61;2,309284718;11;4;8;N;3,5;555,29;0,975609756;1023,11;0,99
eigenwijs;1,82;1,73;0,00;0,00;0,18;1,27;Horen;0,363636364;1,82;0,83;2,365204267;1,733333333;low;#N/B;#N/B;#N/B;120;3,151164882;9;3;6;ADJ;2,95;561,45;0,975609756;1045,38;1
eigenzinnig;1,10;2,30;0,00;0,00;0,20;2,40;Sensaties;0,4;2,4;1,00;3,012172763;1,6;low;#N/B;#N/B;#N/B;10;2,700531286;11;4;8;ADJ;3,35;566,91;0,975;1052,96;0,99
eik;0,31;3,77;1,15;0,08;2,08;0,15;Zien;0,489795918;3,77;1,26;4,001630347;4,6;high;6,43;high;van Loon;67;2,428712667;3;1;2;N;1;519,57;0,926829268;972,31;0,99
eikel;0,50;4,17;0,92;1,67;3,00;0,58;Zien;0,338461538;4,17;1,81;4,718612518;4,6;high;6,4;high;van Loon;2931;2,765154706;5;2;4;N;1,7;489,67;0,975;975,51;1
eiken;0,00;3,50;0,40;0,40;2,30;0,00;Zien;0,53030303;3,5;1,10;3,806866624;3,8;high;#N/B;#N/B;#N/B;57;2,14469082;5;2;3;ADJ;1,55;637,28;0,9;1079,13;0,99
eiland;0,55;3,55;0,91;0,00;0,27;0,27;Zien;0,639344262;3,55;0,92;3,570578425;4,466666667;high;5,97;high;van Loon;2256;2,66220879;6;2;5;N;1,8;517,27;0,975609756;1010,4;1
eileider;0,08;2,38;0,08;0,00;0,08;0,31;Zien;0,815789474;2,38;0,49;2,386401714;4,333333333;high;#N/B;#N/B;#N/B;6;1,970712054;8;3;6;N;2,4;625,31;0,829268293;1308,5;0,98
